Termination time of Current method: 2813319 ms
Termination time of new approach: 41421 ms
+-----------------------------------------------------------------------------------------------------------------------------------------+ 
| #  | Type         | Nodes                                                             | Terminating OLD   | Termination NEW   | Time    |
| 276| recursive    | [entrywhile_12,while_12]                                          | yes               | yes               | -       |
| 277| recursive    | [entrywhile_11,while_11]                                          | yes               | yes               | -       |
| 278| non_recursive| [if_16]                                                           | yes               | yes               | -       |
| 279| non_recursive| [ReplicationSnapshotImpl.refreshSnapshot]                         | yes               | yes               | -       |
| 280| non_recursive| [SyncServerClientCoordinatorImpl.refreshSnapShot]                 | yes               | yes               | -       |
| 281| non_recursive| [cont_50]                                                         | yes               | yes               | -       |
| 282| non_recursive| [if_50]                                                           | yes               | yes               | -       |
| 283| recursive    | [case_5,size]                                                     | yes               | yes               | -       |
| 284| non_recursive| [SyncServerClientCoordinatorImpl.startReplicationUpdate]          | yes               | yes               | -       |
| 285| non_recursive| [SyncServerImpl.getReplicationSnapshot]                           | yes               | yes               | -       |
| 286| non_recursive| [ConnectionThreadImpl.startReplicationUpdate]                     | yes               | yes               | -       |
| 287| non_recursive| [ReplicationSnapshotImpl.getIndexingId]                           | yes               | yes               | -       |
| 288| non_recursive| [cont_44]                                                         | yes               | yes               | -       |
| 289| recursive    | [entrywhile_19,while_19]                                          | yes               | yes               | -       |
| 290| non_recursive| [ReplicationFilePattern.getContents]                              | yes               | yes               | -       |
| 291| non_recursive| [ReplicationLogItem.getContents]                                  | yes               | yes               | -       |
| 292| non_recursive| [SearchDirectoryItem.getContents]                                 | yes               | yes               | -       |
| 293| non_recursive| [virtual_1]                                                       | yes               | yes               | -       |
| 294| recursive    | [entrywhile_18,while_18]                                          | yes               | yes               | -       |
| 295| non_recursive| [ConnectionThreadImpl.registerItems]                              | yes               | yes               | -       |
| 296| non_recursive| [ReplicationSnapshotImpl.getItems]                                | yes               | yes               | -       |
| 297| non_recursive| [cont_51]                                                         | yes               | yes               | -       |
| 298| non_recursive| [ReplicationSnapshotImpl.clearSnapshot]                           | yes               | yes               | -       |
| 299| non_recursive| [SyncServerClientCoordinatorImpl.clearSnapshot]                   | yes               | yes               | -       |
| 300| non_recursive| [cont_52]                                                         | yes               | yes               | -       |
| 301| non_recursive| [if_52]                                                           | yes               | yes               | -       |
| 302| non_recursive| [if_51]                                                           | yes               | yes               | -       |
| 303| non_recursive| [SyncServerClientCoordinatorImpl.finishReplicationUpdate]         | yes               | yes               | -       |
| 304| non_recursive| [ConnectionThreadImpl.finishReplicationUpdate]                    | yes               | yes               | -       |
| 305| non_recursive| [cont_32]                                                         | yes               | yes               | -       |
| 306| non_recursive| [cont_33]                                                         | yes               | yes               | -       |
| 307| non_recursive| [if_33]                                                           | yes               | yes               | -       |
| 308| non_recursive| [if_32]                                                           | yes               | yes               | -       |
| 309| non_recursive| [ClientJobImpl.processFile]                                       | yes               | yes               | -       |
| 310| non_recursive| [cont_35]                                                         | yes               | yes               | -       |
| 311| non_recursive| [ClientJobImpl.overwrite]                                         | yes               | yes               | -       |
| 312| non_recursive| [cont_36]                                                         | yes               | yes               | -       |
| 313| non_recursive| [cont_37]                                                         | yes               | yes               | -       |
| 314| non_recursive| [if_37]                                                           | yes               | yes               | -       |
| 315| non_recursive| [if_36]                                                           | yes               | yes               | -       |
| 316| non_recursive| [if_35]                                                           | yes               | yes               | -       |
| 317| non_recursive| [ClientJobImpl.processContent]                                    | yes               | yes               | -       |
| 318| recursive    | [cont_47,cont_48,cont_49,entrywhile_20,if_47,if_48,if_49,while_20]| yes               | yes               | -       |
| 319| non_recursive| [ConnectionThreadImpl.transferItems]                              | yes               | yes               | -       |
| 320| recursive    | [entrywhile_17,while_17]                                          | yes               | yes               | -       |
| 321| non_recursive| [cont_45]                                                         | yes               | yes               | -       |
| 322| non_recursive| [if_45]                                                           | yes               | yes               | -       |
| 323| non_recursive| [if_44]                                                           | yes               | yes               | -       |
| 324| non_recursive| [ConnectionThreadImpl.run]                                        | yes               | yes               | -       |
| 325| non_recursive| [cont_0]                                                          | yes               | yes               | -       |
| 326| non_recursive| [if_0]                                                            | yes               | yes               | -       |
| 327| non_recursive| [SyncServerAcceptorImpl.getResource]                              | yes               | yes               | -       |
| 328| non_recursive| [cont_1]                                                          | yes               | yes               | -       |
| 329| non_recursive| [if_1]                                                            | yes               | yes               | -       |
