Termination time of Current method: 5200 ms
Termination time of new approach: 239740 ms
+-----------------------------------------------------------------------------------------------------------------------------------------+ 
| #  | Type         | Nodes                                                             | Terminating OLD   | Termination NEW   | Time    |
| 180| non_recursive| [CashDeskLineInstallationImpl.init2]                              | yes               | yes               | -       |
| 181| recursive    | [entrywhile_0,while_0]                                            | no                | yes               | -       |
| 182| recursive    | [entrywhile_1,while_1]                                            | yes               | yes               | -       |
| 183| non_recursive| [CashDeskLineEnvironmentInstallation.init2]                       | yes               | yes               | -       |
| 184| non_recursive| [CashDeskLineEnvironmentInstallation.run]                         | yes               | yes               | -       |
| 185| non_recursive| [ScreenImpl.changed]                                              | yes               | yes               | -       |
| 186| non_recursive| [CashierImpl.waitScreenChanged]                                   | yes               | yes               | -       |
| 187| recursive    | [case_17,digits]                                                  | no                | no                | -       |
| 188| recursive    | [entrywhile_8,while_8]                                            | yes               | yes               | -       |
| 189| non_recursive| [CashierImpl.pressKeys]                                           | yes               | yes               | -       |
| 190| recursive    | [entrywhile_4,while_4]                                            | no                | no                | -       |
| 191| recursive    | [cont_23,entrywhile_5,if_23,while_5]                              | yes               | yes               | -       |
| 192| non_recursive| [case_14]                                                         | yes               | yes               | -       |
| 193| non_recursive| [getAmount]                                                       | yes               | yes               | -       |
| 194| non_recursive| [case_15]                                                         | yes               | yes               | -       |
| 195| non_recursive| [getCreditInfo]                                                   | yes               | yes               | -       |
| 196| non_recursive| [case_12]                                                         | yes               | yes               | -       |
| 197| non_recursive| [getPaymentMode]                                                  | yes               | yes               | -       |
| 198| non_recursive| [case_16]                                                         | yes               | yes               | -       |
| 199| non_recursive| [getPinInfo]                                                      | yes               | yes               | -       |
| 200| non_recursive| [case_13]                                                         | yes               | yes               | -       |
| 201| non_recursive| [getProducts]                                                     | yes               | yes               | -       |
| 202| non_recursive| [PrinterEnvImpl.getReceipt]                                       | yes               | yes               | -       |
| 203| recursive    | [cont_27,cont_28,entrywhile_7,if_27,if_28,while_7]                | no                | no                | -       |
| 204| non_recursive| [case_18]                                                         | yes               | yes               | -       |
| 205| non_recursive| [moneyToInt]                                                      | yes               | yes               | -       |
| 206| recursive    | [cont_26,entrywhile_6,if_26,while_6]                              | no                | no                | -       |
Built-in SCC: #207 [neg]
| 207| non_recursive| [neg]                                                             | yes               | yes               | -       |
| 208| non_recursive| [cont_25]                                                         | yes               | yes               | -       |
| 209| non_recursive| [if_25]                                                           | yes               | yes               | -       |
| 210| non_recursive| [cont_24]                                                         | yes               | yes               | -       |
| 211| non_recursive| [if_24]                                                           | yes               | yes               | -       |
| 212| non_recursive| [CashierImpl.serveCustomer]                                       | yes               | yes               | -       |
| 213| recursive    | [entrywhile_3,while_3]                                            | yes               | yes               | -       |
| 214| non_recursive| [CashierImpl.runCashier]                                          | yes               | yes               | -       |
| 215| non_recursive| [InventoryImpl.init]                                              | yes               | yes               | -       |
| 216| non_recursive| [TestImpl.getCachiers]                                            | yes               | yes               | -       |
| 217| non_recursive| [TestImpl.init]                                                   | yes               | yes               | -       |
| 218| recursive    | [entrywhile_10,while_10]                                          | yes               | yes               | -       |
| 219| recursive    | [entrywhile_11,while_11]                                          | yes               | yes               | -       |
| 220| non_recursive| [TestImpl.start]                                                  | yes               | yes               | -       |
Built-in SCC: #221 [list]
| 221| non_recursive| [list]                                                            | yes               | yes               | -       |
| 222| non_recursive| [main]                                                            | yes               | yes               | -       |
+-----------------------------------------------------------------------------------------------------------------------------------------+ 
